axis,build_id,edge,depth,offset_cm,offset_frac,face,xml
1push,hard_001,26,1,3.0,0.8571,long,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00492/env.xml
1push,hard_001,26,2,3.0,0.8571,long,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00492/env.xml
1push,hard_001,26,3,3.0,0.8571,long,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00492/env.xml
1push,hard_001,26,4,3.0,0.8571,long,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00492/env.xml
1push,hard_001,28,0,3.5,1.0,long,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00492/env.xml
1push,hard_001,28,1,3.5,1.0,long,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00492/env.xml
1push,hard_001,28,2,3.5,1.0,long,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00492/env.xml
1push,hard_001,28,3,3.5,1.0,long,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00492/env.xml
1push,hard_001,28,4,3.5,1.0,long,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00492/env.xml
1push,hard_001,41,0,2.143,0.2857,short,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00492/env.xml
1push,hard_001,41,1,2.143,0.2857,short,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00492/env.xml
1push,hard_001,41,2,2.143,0.2857,short,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00492/env.xml
1push,hard_001,41,3,2.143,0.2857,short,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00492/env.xml
1push,hard_001,41,4,2.143,0.2857,short,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00492/env.xml
1push,hard_001,43,0,1.071,0.1429,short,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00492/env.xml
1push,hard_001,43,1,1.071,0.1429,short,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00492/env.xml
1push,hard_001,43,2,1.071,0.1429,short,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00492/env.xml
1push,hard_001,43,3,1.071,0.1429,short,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00492/env.xml
1push,hard_001,43,4,1.071,0.1429,short,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00492/env.xml
1push,hard_001,45,0,0.0,0.0,short,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00492/env.xml
1push,hard_001,45,1,0.0,0.0,short,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00492/env.xml
1push,hard_001,45,2,0.0,0.0,short,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00492/env.xml
1push,hard_001,45,3,0.0,0.0,short,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00492/env.xml
1push,hard_001,45,4,0.0,0.0,short,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00492/env.xml
1push,hard_001,47,0,1.071,0.1429,short,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00492/env.xml
1push,hard_001,47,1,1.071,0.1429,short,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00492/env.xml
1push,hard_001,47,2,1.071,0.1429,short,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00492/env.xml
1push,hard_001,47,3,1.071,0.1429,short,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00492/env.xml
1push,hard_001,47,4,1.071,0.1429,short,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00492/env.xml
1push,hard_001,49,0,2.143,0.2857,short,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00492/env.xml
1push,hard_001,49,1,2.143,0.2857,short,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00492/env.xml
1push,hard_001,49,2,2.143,0.2857,short,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00492/env.xml
1push,hard_001,49,3,2.143,0.2857,short,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00492/env.xml
1push,hard_001,49,4,2.143,0.2857,short,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00492/env.xml
